"Місцевий час в Києві / Жулянах (аеропорт)";"N";"Cl";"Nh";"H";"Cm";"Ch";"RRR"
"18.08.2009 09:00";"хмар немає";"";"";"";"";"";""
"18.08.2009 06:00";"хмар немає";"";"";"";"";"";""
"18.08.2009 03:00";"хмар немає";"";"";"";"";"";""
"18.08.2009 00:00";"хмар немає";"";"";"";"";"";""
"17.08.2009 21:00";"хмар немає";"";"";"";"";"";""
"17.08.2009 18:00";"хмар немає";"";"";"";"";"";""
"17.08.2009 15:00";"хмар немає";"";"";"";"";"";""
"17.08.2009 12:00";"хмар немає";"";"";"";"";"";""
"17.08.2009 09:00";"хмар немає";"";"";"";"";"";""
"17.08.2009 06:00";"хмар немає";"";"";"";"";"";""
"17.08.2009 03:00";"хмар немає";"";"";"";"";"";""
"17.08.2009 00:00";"хмар немає";"";"";"";"";"";""
"16.08.2009 21:00";"хмар немає";"";"";"";"";"";""
"16.08.2009 18:00";"хмар немає";"";"";"";"";"";""
"16.08.2009 15:00";"20–30%.";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"20–30%.";"1000-1500";"";"";""
"16.08.2009 12:00";"40%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"40%.";"1000-1500";"";"";""
"16.08.2009 09:00";"хмар немає";"";"";"";"";"";""
"16.08.2009 06:00";"хмар немає";"";"";"";"";"";""
"16.08.2009 03:00";"хмар немає";"";"";"";"";"";""
"16.08.2009 00:00";"хмар немає";"";"";"";"";"";""
"15.08.2009 21:00";"20–30%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"15.08.2009 18:00";"50%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"10%  або менше, але не 0";"1000-1500";"";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"15.08.2009 15:00";"40%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"15.08.2009 12:00";"50%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"40%.";"1000-1500";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"15.08.2009 09:00";"20–30%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";""
"15.08.2009 06:00";"20–30%.";"";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"15.08.2009 03:00";"хмар немає";"";"";"";"";"";""
"15.08.2009 00:00";"40%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"14.08.2009 21:00";"90  або більше, але не 100 %";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"14.08.2009 18:00";"60%.";"";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"14.08.2009 15:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"14.08.2009 12:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"60%.";"1000-1500";"";"";""
"14.08.2009 09:00";"60%.";"Шарувато-купчасті, що утворилися не з купчастих.";"20–30%.";"600-1000";"";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"14.08.2009 06:00";"хмар немає";"";"";"";"";"";""
"14.08.2009 03:00";"60%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"60%.";"600-1000";"";"";""
"14.08.2009 00:00";"70 – 80%.";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"10%  або менше, але не 0";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"13.08.2009 21:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"13.08.2009 18:00";"90  або більше, але не 100 %";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"20–30%.";"600-1000";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"13.08.2009 15:00";"70 – 80%.";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"40%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"13.08.2009 12:00";"90  або більше, але не 100 %";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"13.08.2009 09:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"0.3"
"13.08.2009 06:00";"60%.";"";"60%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"13.08.2009 03:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"0.3"
"13.08.2009 00:00";"70 – 80%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"12.08.2009 21:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"600-1000";"Високо-шаруваті прозорі.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"0.4"
"12.08.2009 18:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"12.08.2009 15:00";"70 – 80%.";"";"50%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"12.08.2009 12:00";"20–30%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"12.08.2009 09:00";"20–30%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"12.08.2009 06:00";"хмар немає";"";"";"";"";"";""
"12.08.2009 03:00";"хмар немає";"";"";"";"";"";""
"12.08.2009 00:00";"хмар немає";"";"";"";"";"";""
"11.08.2009 21:00";"хмар немає";"";"";"";"";"";""
"11.08.2009 18:00";"20–30%.";"Шарувато-купчасті, що утворилися з купчастих.";"20–30%.";"600-1000";"";"";""
"11.08.2009 15:00";"50%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"1000-1500";"";"";""
"11.08.2009 12:00";"70 – 80%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"70 – 80%.";"1000-1500";"";"";""
"11.08.2009 09:00";"хмар немає";"";"";"";"";"";""
"11.08.2009 06:00";"хмар немає";"";"";"";"";"";""
"11.08.2009 03:00";"хмар немає";"";"";"";"";"";""
"11.08.2009 00:00";"хмар немає";"";"";"";"";"";""
"10.08.2009 21:00";"хмар немає";"";"";"";"";"";""
"10.08.2009 18:00";"20–30%.";"";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"10.08.2009 15:00";"60%.";"";"60%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"10.08.2009 12:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"60%.";"1000-1500";"";"";""
"10.08.2009 09:00";"20–30%.";"";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"10.08.2009 06:00";"70 – 80%.";"Шарувато-купчасті, що утворилися не з купчастих.";"70 – 80%.";"1000-1500";"";"";""
"10.08.2009 03:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"10.08.2009 00:00";"20–30%.";"Шарувато-купчасті, що утворилися не з купчастих.";"20–30%.";"1000-1500";"";"";""
"09.08.2009 21:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"09.08.2009 18:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"";""
"09.08.2009 15:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"09.08.2009 12:00";"50%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"09.08.2009 09:00";"20–30%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"09.08.2009 06:00";"хмар немає";"";"";"";"";"";""
"09.08.2009 03:00";"хмар немає";"";"";"";"";"";""
"09.08.2009 00:00";"60%.";"";"60%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"08.08.2009 21:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"8"
"08.08.2009 18:00";"70 – 80%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"60%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"08.08.2009 15:00";"100%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"70 – 80%.";"600-1000";"Високо-шаруваті непрозорі або шарувато-дощові.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"7"
"08.08.2009 12:00";"70 – 80%.";"Шарувато-купчасті, що утворилися не з купчастих.";"60%.";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"08.08.2009 09:00";"100%.";"";"100%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"08.08.2009 06:00";"100%.";"";"100%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"08.08.2009 03:00";"90  або більше, але не 100 %";"";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"";""
"08.08.2009 00:00";"90  або більше, але не 100 %";"";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"07.08.2009 21:00";"100%.";"";"100%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"2"
"07.08.2009 18:00";"100%.";"";"100%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"07.08.2009 15:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"300-600";"Високо-шаруваті прозорі.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"0.6"
"07.08.2009 12:00";"100%.";"";"100%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"07.08.2009 09:00";"90  або більше, але не 100 %";"";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"0.5"
"07.08.2009 06:00";"100%.";"";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"07.08.2009 03:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"300-600";"Високо-шаруваті прозорі.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"Сліди опадів"
"07.08.2009 00:00";"100%.";"";"100%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"06.08.2009 21:00";"90  або більше, але не 100 %";"";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"06.08.2009 18:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"06.08.2009 15:00";"70 – 80%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"06.08.2009 12:00";"90  або більше, але не 100 %";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"60%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"06.08.2009 09:00";"70 – 80%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"06.08.2009 06:00";"70 – 80%.";"Шарувато-купчасті, що утворилися не з купчастих.";"60%.";"1000-1500";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"06.08.2009 03:00";"90  або більше, але не 100 %";"Шарувато-купчасті, що утворилися не з купчастих.";"90  або більше, але не 100 %";"1000-1500";"";"";""
"06.08.2009 00:00";"20–30%.";"";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"05.08.2009 21:00";"60%.";"Шарувато-купчасті, що утворилися з купчастих.";"20–30%.";"600-1000";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"05.08.2009 18:00";"40%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"05.08.2009 15:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"1000-1500";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"05.08.2009 12:00";"50%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"40%.";"1000-1500";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"05.08.2009 09:00";"40%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"05.08.2009 06:00";"20–30%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"05.08.2009 03:00";"хмар немає";"";"";"";"";"";""
"05.08.2009 00:00";"хмар немає";"";"";"";"";"";""
"04.08.2009 21:00";"хмар немає";"";"";"";"";"";""
"04.08.2009 18:00";"50%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"600-1000";"";"";""
"04.08.2009 15:00";"70 – 80%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"70 – 80%.";"600-1000";"";"";""
"04.08.2009 12:00";"хмар немає";"";"";"";"";"";""
"04.08.2009 09:00";"хмар немає";"";"";"";"";"";"1"
"04.08.2009 06:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"04.08.2009 03:00";"100%.";"";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"1"
"04.08.2009 00:00";"90  або більше, але не 100 %";"";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"03.08.2009 21:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"03.08.2009 18:00";"60%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються; суцільна пелена, що піднімається над обрієм вище 45 °, не покриває всього неба.";""
"03.08.2009 15:00";"40%.";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"40%.";"1000-1500";"";"";""
"03.08.2009 12:00";"40%.";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"10%  або менше, але не 0";"1000-1500";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"03.08.2009 09:00";"хмар немає";"";"";"";"";"";""
"03.08.2009 06:00";"хмар немає";"";"";"";"";"";""
"03.08.2009 03:00";"40%.";"";"40%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"03.08.2009 00:00";"хмар немає";"";"";"";"";"";""
"02.08.2009 21:00";"20–30%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";""
"02.08.2009 18:00";"10%  або менше, але не 0";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"02.08.2009 15:00";"20–30%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"02.08.2009 12:00";"60%.";"";"40%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"02.08.2009 09:00";"70 – 80%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"02.08.2009 06:00";"20–30%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"02.08.2009 03:00";"хмар немає";"";"";"";"";"";""
"02.08.2009 00:00";"хмар немає";"";"";"";"";"";""
"01.08.2009 21:00";"20–30%.";"";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"01.08.2009 18:00";"40%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"01.08.2009 15:00";"70 – 80%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"70 – 80%.";"600-1000";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";""
"01.08.2009 12:00";"70 – 80%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"60%.";"600-1000";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"01.08.2009 09:00";"50%.";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"01.08.2009 06:00";"хмар немає";"";"";"";"";"";""
"31.08.2008 21:00";"50%.";"";"50%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"3"
"31.08.2008 18:00";"70 – 80%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"70 – 80%.";"600-1000";"";"";""
"31.08.2008 15:00";"70 – 80%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"70 – 80%.";"600-1000";"";"";"2"
"31.08.2008 12:00";"50%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"31.08.2008 09:00";"20–30%.";"";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті баштовидні або пластівчасті.";"";""
"31.08.2008 06:00";"хмар немає";"";"";"";"";"";""
"31.08.2008 03:00";"хмар немає";"";"";"";"";"";""
"31.08.2008 00:00";"60%.";"";"60%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";""
"30.08.2008 21:00";"70 – 80%.";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"";"2"
"30.08.2008 18:00";"60%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"20–30%.";"600-1000";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"";""
"30.08.2008 15:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"90  або більше, але не 100 %";"600-1000";"";"";"2"
"30.08.2008 12:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"90  або більше, але не 100 %";"300-600";"";"";""
"30.08.2008 09:00";"100%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"100%.";"300-600";"Високо-купчасті баштовидні або пластівчасті.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"4"
