"Місцевий час в Києві / Жулянах (аеропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"RRR";"tR";"E";"Tg";"E'";"sss";"AD"
"06.08.2006 18:00";"23";"741.4";"755.7";"";"63";"Вітер, що дме із заходу";"2";"";"";"40%.";" ";"";"";"";"";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"20–30%.";"1000-1500";"Високо-купчасті баштовидні або пластівчасті.";"";"50";"";"";"";"";"";"";""
"06.08.2006 15:00";"24.4";"740.9";"755.2";"";"59";"Вітер, що дме із заходу";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"40%.";"1000-1500";"Високо-купчасті баштовидні або пластівчасті.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"50";"";"";"";"";"";"";""
"06.08.2006 12:00";"24.1";"740.3";"754.6";"";"67";"Вітер, що дме з півдня-південного заходу";"4";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"60%.";"600-1000";"Високо-купчасті баштовидні або пластівчасті.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"50";"";"";"";"";"";"";""
"06.08.2006 09:00";"22.5";"739.6";"753.9";"";"73";"Вітер, що дме з південного заходу";"3";"";"";"хмар немає";" ";"";"";"19.4";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"06.08.2006 06:00";"20.6";"739.5";"754";"";"77";"";"";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті баштовидні або пластівчасті.";"";"20";"";"";"";"";"";"";""
"06.08.2006 03:00";"22.2";"739.6";"753.9";"";"83";"Вітер, що дме з півдня";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"06.08.2006 00:00";"24.3";"740";"754.3";"";"71";"Вітер, що дме зі сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"05.08.2006 21:00";"25.8";"740.3";"754.5";"";"53";"Вітер, що дме з півночі";"1";"";"";"хмар немає";" ";"";"";"";"30.7";"";"";"";"";"";"50";"";"";"";"";"";"";""
"05.08.2006 18:00";"29.9";"740.5";"754.4";"";"42";"";"";"";"";"20–30%.";" ";"";"";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"50";"";"";"";"";"";"";""
"05.08.2006 15:00";"29.7";"741.1";"755.3";"";"45";"";"";"";"";"70 – 80%.";" ";"";"";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"50";"";"";"";"";"";"";""
"05.08.2006 12:00";"27.9";"741.2";"755.3";"";"49";"";"";"";"";"70 – 80%.";" ";"";"";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"50";"";"";"";"";"";"";""
"05.08.2006 09:00";"23.6";"741.2";"755.6";"";"71";"Вітер, що дме з південного заходу";"1";"";"";"10%  або менше, але не 0";" ";"";"";"18.5";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"05.08.2006 06:00";"19.1";"740.8";"755.3";"";"95";"Вітер, що дме з півдня";"1";"";"";"20–30%.";" ";"";"";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчасті при хаотичному вигляді неба, зазвичай розташовані на декількох рівнях.";"";"20";"";"";"";"";"";"";""
"05.08.2006 03:00";"20.3";"741.1";"755.6";"";"89";"Вітер, що дме з півдня-південного сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"05.08.2006 00:00";"23.1";"741.2";"755.6";"";"80";"Вітер, що дме з півдня-південного сходу";"2";"";"";"100%.";" ";"";"";"";"";"";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"";"50";"";"";"";"";"";"";""
"04.08.2006 21:00";"24.5";"740.9";"755.2";"";"74";"Вітер, що дме з півдня-південного сходу";"2";"";"";"100%.";" ";"";"";"";"28.7";"";"60%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"50";"9";"12";"";"";"";"";""
"04.08.2006 18:00";"28.1";"740.7";"754.8";"";"58";"Вітер, що дме з півдня-південного сходу";"3";"";"";"10%  або менше, але не 0";" ";"";"";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"50";"";"";"";"";"";"";""
"04.08.2006 15:00";"26.8";"741.7";"755.8";"";"74";"Вітер, що дме з півдня-південного сходу";"2";"";"";"10%  або менше, але не 0";"Стан неба в загальному не змінився. ";"Гроза (грози) з опадами або без них.";"Злива (зливи).";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"9";"6";"";"";"";"";""
"04.08.2006 12:00";"21.6";"742.4";"756.8";"";"98";"Вітер, що дме зі сходу";"1";"";"";"100%.";"Димка. ";"Гроза (грози) з опадами або без них.";"Злива (зливи).";"";"";"";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"2";"";"";"";"";"";"";""
"04.08.2006 09:00";"20.9";"742.4";"756.8";"";"90";"Вітер, що дме з півдня-південного сходу";"1";"";"";"90  або більше, але не 100 %";" ";"";"";"18.2";"";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"20";"";"";"";"";"";"";""
"04.08.2006 06:00";"18.9";"742.7";"757.3";"";"95";"Вітер, що дме з півдня-південного сходу";"1";"";"";"60%.";" ";"";"";"";"";"";"60%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"";"10";"";"";"";"";"";"";""
"04.08.2006 03:00";"19.2";"743";"757.5";"";"94";"Вітер, що дме зі сходу-південного сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"04.08.2006 00:00";"20";"743.1";"757.6";"";"92";"Штиль, безвітря";"0";"";"";"10%  або менше, але не 0";" ";"";"";"";"";"";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"";"20";"";"";"";"";"";"";""
"03.08.2006 21:00";"21.9";"742.6";"757";"";"82";"Вітер, що дме з півдня-південного сходу";"1";"";"";"40%.";" ";"";"";"";"25.7";"";"40%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"";"20";"";"";"";"";"";"";""
"03.08.2006 18:00";"23.7";"742.1";"756.4";"";"73";"Вітер, що дме з північного сходу";"2";"";"";"100%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"40%.";"600-1000";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"03.08.2006 15:00";"24.1";"741.8";"756.1";"";"70";"Вітер, що дме з півдня-південного заходу";"2";"";"";"100%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"600-1000";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"03.08.2006 12:00";"22.1";"741.7";"756.1";"";"79";"Вітер, що дме із заходу";"2";"";"";"100%.";" ";"";"";"";"";"Шарувато-купчасті, що утворилися не з купчастих.";"60%.";"600-1000";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"03.08.2006 09:00";"20.2";"740.9";"755.5";"";"86";"Вітер, що дме із заходу-південного заходу";"2";"";"";"70 – 80%.";" ";"";"";"16.9";"";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"";"20";"0.8";"12";"";"";"";"";""
"03.08.2006 06:00";"17";"740.2";"754.8";"";"94";"Вітер, що дме з півдня-південного заходу";"1";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"10";"";"";"";"";"";"";""
"03.08.2006 03:00";"17.6";"740.3";"755";"";"94";"";"";"";"";"100%.";"Стан неба в загальному не змінився. ";"Дощ.";"Хмари покривали більше половини неба протягом всього відповідного періоду.";"";"";"";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"0.8";"6";"";"";"";"";""
"03.08.2006 00:00";"18.5";"741.2";"755.8";"";"86";"Вітер, що дме з півдня";"3";"";"";"100%.";"Дощ незамерзаючий безперервний слабкий в термін спостереження. ";"Дощ.";"Хмари покривали більше половини неба протягом всього відповідного періоду.";"";"";"";"100%.";"2500 або більше, або хмар немає.";"Високо-шаруваті прозорі.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"02.08.2006 21:00";"20.1";"741";"755.6";"";"71";"Вітер, що дме з півдня";"2";"";"";"100%.";" ";"";"";"";"24.5";"";"100%.";"2500 або більше, або хмар немає.";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"50";"";"";"";"";"";"";""
"02.08.2006 18:00";"23.6";"741.1";"755.4";"";"58";"Вітер, що дме з південного сходу";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"40%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"50";"";"";"";"";"";"";""
"02.08.2006 15:00";"23.6";"742.2";"756.5";"";"58";"Вітер, що дме з півдня-південного сходу";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"40%.";"1000-1500";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"50";"";"";"";"";"";"";""
"02.08.2006 12:00";"20.9";"743.2";"757.7";"";"74";"Вітер, що дме з півдня-південного сходу";"3";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"20–30%.";"600-1000";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються; суцільна пелена, що піднімається над обрієм вище 45 °, не покриває всього неба.";"50";"";"";"";"";"";"";""
"02.08.2006 09:00";"18";"743.6";"758.2";"";"82";"Вітер, що дме з півдня-південного сходу";"3";"";"";"90  або більше, але не 100 %";" ";"";"";"12.4";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"50";"";"";"";"";"";"";""
"02.08.2006 06:00";"12.7";"743.8";"758.8";"";"96";"Вітер, що дме зі сходу-південного сходу";"1";"";"";"20–30%.";" ";"";"";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"50";"";"";"";"";"";"";""
"02.08.2006 03:00";"14.1";"744";"758.8";"";"91";"Вітер, що дме з півдня-південного сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"02.08.2006 00:00";"16.2";"744.2";"758.9";"";"89";"Вітер, що дме з південного сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"01.08.2006 21:00";"20.1";"743.7";"758.2";"";"59";"Вітер, що дме з півночі-північного сходу";"1";"";"";"70 – 80%.";" ";"";"";"";"23.8";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"50";"";"";"";"";"";"";""
"01.08.2006 18:00";"23.1";"743.5";"757.9";"";"43";"Вітер, що дме з півночі-північного сходу";"3";"";"";"60%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"50";"";"";"";"";"";"";""
"01.08.2006 15:00";"23.3";"743.8";"758.2";"";"43";"Вітер, що дме зі сходу-північного сходу";"3";"";"";"20–30%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"10%  або менше, але не 0";"600-1000";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"50";"";"";"";"";"";"";""
"01.08.2006 12:00";"21.3";"743.8";"758.4";"";"49";"Вітер, що дме з півночі-північного сходу";"4";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"01.08.2006 09:00";"17.6";"743.6";"758.2";"";"77";"Вітер, що дме з півночі";"3";"";"";"хмар немає";" ";"";"";"15.2";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"01.08.2006 06:00";"15.5";"742.9";"757.6";"";"91";"Вітер, що дме з півночі-північного заходу";"3";"";"";"20–30%.";" ";"";"";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"01.08.2006 03:00";"17.5";"742.6";"757.2";"";"89";"Вітер, що дме з північного заходу";"3";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"01.08.2006 00:00";"19.1";"742.3";"756.8";"";"88";"Вітер, що дме з північного заходу";"3";"";"";"20–30%.";" ";"";"";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті щільні, що утворилися від купчасто-дощових.";"50";"";"";"";"";"";"";""
"31.08.2005 21:00";"17.5";"";"764.8";"";"53";"Вітер, що дме з півночі";"2";"";"";"хмар немає";" ";"";"";"";"21.7";"";"";"";"";"";"50";"";"";"";"";"";"";""
"31.08.2005 18:00";"20";"749.7";"764.3";"";"42";"Вітер, що дме з півночі-північного сходу";"5";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"31.08.2005 15:00";"21.1";"750.2";"764.8";"";"46";"Вітер, що дме з півночі-північного сходу";"4";"";"";"10%  або менше, але не 0";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"10%  або менше, але не 0";"1000-1500";"";"";"50";"";"";"";"";"";"";""
"31.08.2005 12:00";"20.5";"750.9";"765.5";"";"56";"Вітер, що дме з півночі";"4";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"31.08.2005 09:00";"17.8";"750.7";"765.4";"";"72";"Вітер, що дме із заходу-північного заходу";"2";"";"";"хмар немає";" ";"";"";"15.7";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"31.08.2005 06:00";"16.4";"750.7";"765.5";"";"78";"Вітер, що дме із заходу-північного заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"31.08.2005 03:00";"17.4";"751.1";"765.9";"";"77";"Вітер, що дме із заходу-північного заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"31.08.2005 00:00";"18.8";"751.6";"766.4";"";"72";"Вітер, що дме із заходу-північного заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"30.08.2005 21:00";"21.2";"751.9";"766.5";"";"63";"Вітер, що дме із заходу";"2";"";"";"хмар немає";" ";"";"";"";"25.8";"";"";"";"";"";"50";"";"";"";"";"";"";""
"30.08.2005 18:00";"25.3";"752.3";"766.7";"";"45";"Вітер, що дме із заходу-північного заходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"30.08.2005 15:00";"24.1";"753.2";"767.8";"";"45";"Вітер, що дме з півночі";"2";"";"";"50%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"600-1000";"";"";"50";"";"";"";"";"";"";""
"30.08.2005 12:00";"23.3";"753.9";"768.4";"";"56";"Вітер, що дме з півночі";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"70 – 80%.";"600-1000";"";"";"50";"";"";"";"";"";"";""
"30.08.2005 09:00";"18.8";"753.9";"768.8";"";"81";"Штиль, безвітря";"0";"";"";"40%.";" ";"";"";"15.6";"";"";"40%.";"2500 або більше, або хмар немає.";"Високо-купчасті баштовидні або пластівчасті.";"";"20";"";"";"";"";"";"";""
"30.08.2005 06:00";"16";"753.7";"768.6";"";"86";"Вітер, що дме з південного заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"30.08.2005 03:00";"16.8";"754.1";"769";"";"78";"Вітер, що дме з південного заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"30.08.2005 00:00";"18";"754.4";"769.2";"";"74";"Вітер, що дме з півночі-північного заходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"29.08.2005 21:00";"19.5";"754";"768.8";"";"66";"Вітер, що дме із заходу";"1";"";"";"хмар немає";" ";"";"";"";"24.6";"";"";"";"";"";"50";"";"";"";"";"";"";""
"29.08.2005 18:00";"23.9";"753.8";"768.4";"";"51";"Вітер, що дме із заходу";"1";"";"";"60%.";" ";"";"";"";"";"";"50%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"50";"";"";"";"";"";"";""
"29.08.2005 15:00";"22.6";"754.2";"768.8";"";"55";"Вітер, що дме з півночі-північного заходу";"1";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"";"60%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисто-шаруваті, не поширюються по небу і не покривають його повністю.";"50";"";"";"";"";"";"";""
"29.08.2005 12:00";"22.5";"754.1";"768.8";"";"49";"Штиль, безвітря";"0";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"10%  або менше, але не 0";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"50";"";"";"";"";"";"";""
"29.08.2005 09:00";"18.8";"753.9";"768.8";"";"74";"Штиль, безвітря";"0";"";"";"90  або більше, але не 100 %";" ";"";"";"15.4";"";"";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"20";"";"";"";"";"";"";""
"29.08.2005 06:00";"15.6";"753.3";"768.2";"";"82";"Штиль, безвітря";"0";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"";"90  або більше, але не 100 %";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"20";"";"";"";"";"";"";""
"29.08.2005 03:00";"17.7";"753";"767.8";"";"73";"Вітер, що дме з північного сходу";"1";"";"";"100%.";" ";"";"";"";"";"";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"50";"";"";"";"";"";"";""
"29.08.2005 00:00";"18.4";"752.8";"767.7";"";"73";"Штиль, безвітря";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"50";"";"";"";"";"";"";""
"28.08.2005 21:00";"19.1";"752.8";"767.7";"";"66";"Вітер, що дме з північного заходу";"1";"";"";"10%  або менше, але не 0";" ";"";"";"";"24.5";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"50";"";"";"";"";"";"";""
"28.08.2005 18:00";"22.9";"752.2";"766.8";"";"57";"Вітер, що дме з північного сходу";"2";"";"";"40%.";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"20–30%.";"1000-1500";"";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"50";"";"";"";"";"";"";""
"28.08.2005 15:00";"23.1";"752.5";"767.1";"";"54";"Вітер, що дме з північного сходу";"1";"";"";"60%.";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"40%.";"1000-1500";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"50";"";"";"";"";"";"";""
"28.08.2005 12:00";"20.5";"753.1";"767.8";"";"59";"Вітер, що дме з північного сходу";"2";"";"";"20–30%.";" ";"";"";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"50";"";"";"";"";"";"";""
"28.08.2005 09:00";"15.7";"752.7";"767.6";"";"81";"Вітер, що дме з півночі-північного заходу";"2";"";"";"90  або більше, але не 100 %";" ";"";"";"13.2";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";"50";"";"";"";"";"";"";""
"28.08.2005 06:00";"13.4";"752.1";"767.2";"";"83";"Вітер, що дме з півночі-північного заходу";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"хмар немає";"2500 або більше, або хмар немає.";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"28.08.2005 03:00";"15.8";"751.8";"766.6";"";"72";"Вітер, що дме з північного заходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"50";"";"";"";"";"";"";""
"28.08.2005 00:00";"17.5";"751.6";"766.4";"";"89";"Вітер, що дме із заходу-північного заходу";"2";"";"";"60%.";" ";"";"";"";"";"";"60%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"50";"";"";"";"";"";"";""
"27.08.2005 21:00";"19.8";"750.8";"765.4";"";"78";"Вітер, що дме з півночі";"2";"";"";"40%.";" ";"";"";"";"23.2";"";"40%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"";"50";"";"";"";"";"";"";""
"27.08.2005 18:00";"22.3";"749.8";"764.4";"";"65";"Вітер, що дме з північного сходу";"1";"";"";"40%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"50";"";"";"";"";"";"";""
"27.08.2005 15:00";"21.6";"750.1";"764.6";"";"75";"Вітер, що дме з півночі";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"60%.";"600-1000";"";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"50";"";"";"";"";"";"";""
